,city,lat,lng,closest
0,Canberra,-35.283,149.129,2326.9645710066593
1,Wellington,-41.3,174.7833,2326.9645710066593
2,Dili,-8.5594,125.5795,1904.6786812680539
3,Reykjavík,64.15,-21.95,1497.1247758482746
4,Brasília,-15.7833,-47.9161,1463.1464514861802
5,Palikir,6.9166,158.15,1460.2106397109428
6,Port Moresby,-9.4647,147.1925,1399.2156305859173
7,Victoria,-4.6166,55.45,1344.371449312949
8,Honiara,-9.438,159.9498,1291.0682127513917
9,Ngerulmud,7.5,134.6242,1290.6742088302103
10,Bandar Seri Begawan,4.8833,114.9333,1267.5404590085932
11,Ulaanbaatar,47.9167,106.9166,1166.2818595882813
12,Taipei,25.0358,121.5683,1161.5539910232599
13,Manila,14.6042,120.9822,1161.5539910232599
14,Tokyo,35.685,139.7514,1156.0656153884863
15,Santiago,-33.45,-70.667,1137.2313896697954
16,Lima,-12.048,-77.0501,1078.91021641134
17,Funafuti,-8.5167,179.2166,1072.5570019834536
18,Port-Vila,-17.7334,168.3166,1071.9470869078002
19,Mexico City,19.4424,-99.131,1059.9190713739908
20,Port Louis,-20.1666,57.5,1055.1777070216688
21,Asunción,-25.2964,-57.6415,1037.3401992619094
22,Mogadishu,2.0667,45.3667,1020.9410541088192
23,Nur-Sultan,51.1811,71.4278,954.0640870923664
24,Windhoek,-22.57,17.0835,928.4555360161673
25,Antananarivo,-18.9166,47.5166,923.6757889995234
26,Cape Town,-33.92,18.435,910.9846597866566
27,Jakarta,-6.1744,106.8294,893.5517658985052
28,N’Djamena,12.1131,15.0491,887.7468098877384
29,Beijing,39.9289,116.3883,809.8938868276533
30,Bangui,4.3666,18.5583,782.9407206464689
31,Male,4.1667,73.4999,767.836051150933
32,Nuku‘alofa,-21.1385,-175.2206,742.9983000002918
33,Suva,-18.133,178.4417,742.9983000002918
34,Washington,38.9047,-77.0163,732.1543823293166
35,Ottawa,45.4167,-75.7,732.1543823293166
36,Quito,-0.215,-78.5001,725.9050853666625
37,Bogotá,4.5964,-74.0833,725.9050853666625
38,Bamako,12.65,-8.0,703.5948785415987
39,Moroni,-11.7042,43.2402,698.0444260419042
40,Khartoum,15.5881,32.5342,686.3580336997084
41,New Delhi,28.6,77.2,684.6162611844985
42,Moscow,55.7522,37.6155,675.1149222094625
43,Ashgabat,37.95,58.3833,669.0812125579422
44,Majuro,7.103,171.38,666.2222381945661
45,Tarawa,1.3382,173.0176,666.2222381945661
46,Praia,14.9167,-23.5167,650.0375221655171
47,Algiers,36.7631,3.0506,634.7651885758355
48,Abuja,9.0833,7.5333,608.8967198940306
49,Asmara,15.3333,38.9333,565.4539753507609
50,Addis Ababa,9.0333,38.7,563.802720054531
51,Rabat,34.0253,-6.8361,561.6835113132807
52,Baghdad,33.3386,44.3939,557.2286082426124
53,Nassau,25.0834,-77.35,553.1890800243326
54,Havana,23.132,-82.3642,553.1890800243326
55,Luanda,-8.8383,13.2344,551.477064748341
56,Tehran,35.6719,51.4243,542.7166016395724
57,Phnom Penh,11.55,104.9166,536.3755268037216
58,Ankara,39.9272,32.8644,531.1888530624472
59,Bangkok,13.75,100.5166,519.1114095044732
60,Lilongwe,-13.9833,33.7833,517.2305356777832
61,Juba,4.83,31.58,514.0758754700286
62,Panama City,8.968,-79.533,510.6289275019926
63,Lisbon,38.7227,-9.1449,503.8539628197137
64,Nairobi,-1.2833,36.8167,503.20139517504686
65,Andorra la Vella,42.5,1.5165,492.1585572664564
66,Madrid,40.4,-3.6834,492.1585572664564
67,Athens,37.9833,23.7333,487.6663740030139
68,Vientiane,17.9667,102.6,481.9530271092112
69,Hanoi,21.0333,105.85,481.9530271092112
70,Kingston,17.9771,-76.7674,472.1075959254296
71,Bishkek,42.8731,74.5852,469.6749869365802
72,Dublin,53.3331,-6.2489,462.9395595151708
73,Baku,40.3953,49.8622,450.09011633733905
74,Muscat,23.6133,58.5933,439.56408680787644
75,Djibouti,11.595,43.148,433.4418007952334
76,Sanaa,15.3547,44.2066,433.4418007952334
77,Kuwait City,29.3697,47.9783,432.45644528435156
78,Kathmandu,27.7167,85.3166,426.79397745647395
79,Thimphu,27.473,89.639,424.04764861143235
80,Dhaka,23.7231,90.4086,424.04764861143235
81,Cairo,30.05,31.25,423.5210535648916
82,Riyadh,24.6408,46.7727,421.7085030392752
83,Oslo,59.9167,10.75,417.5472160316673
84,La Paz,-16.498,-68.15,416.6751324002905
85,Sucre,-19.041,-65.2595,416.6751324002905
86,Ouagadougou,12.3703,-1.5247,414.6849676140422
87,Niamey,13.5167,2.1167,414.6849676140422
88,Nouakchott,18.0864,-15.9753,407.41568361286033
89,Tunis,36.8028,10.1797,400.96175636218743
90,Kyiv,50.4334,30.5166,400.1468215549354
91,Harare,-17.8178,31.0447,397.2953618791812
92,Lusaka,-15.4166,28.2833,397.2953618791812
93,Dodoma,-6.1833,35.75,394.70844829076384
94,Dar es Salaam,-6.8,39.2683,394.70844829076384
95,Warsaw,52.25,21.0,393.3848234236524
96,Islamabad,33.7,73.1666,377.7775044980139
97,Kabul,34.5167,69.1833,377.7775044980139
98,Kampala,0.3167,32.5833,377.35321711526274
99,Stockholm,59.3508,18.0973,375.3592911350629
100,Monrovia,6.3106,-10.8048,359.73935044726085
101,Chisinau,47.005,28.8577,357.1668184923861
102,Tripoli,32.8925,13.18,356.09283739759724
103,Valletta,35.8997,14.5147,356.09283739759724
104,Copenhagen,55.6786,12.5635,355.23993961726
105,Monaco,43.7396,7.4069,353.3086095461907
106,Georgetown,6.802,-58.167,348.5537278055568
107,Paramaribo,5.835,-55.167,348.5537278055568
108,Belmopan,17.252,-88.7671,347.824014250174
109,San José,9.935,-84.0841,343.00286418210953
